legId,searchDate,flightDate,startingAirport,destinationAirport,travelDuration,isBasicEconomy,isRefundable,isNonStop,totalFare,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
ac4b406fb57093e7806c892db5655178,2022-04-16,2022-04-18,ATL,ORD,PT5H56M,False,False,False,241.58,,1650304440||1650314220,2022-04-18T13:54:00.000-04:00||2022-04-18T16:37:00.000-04:00,1650311100||1650325800,2022-04-18T15:45:00.000-04:00||2022-04-18T18:50:00.000-05:00,FLL||ORD,ATL||FLL,Spirit Airlines||Spirit Airlines,NK||NK,||AIRBUS INDUSTRIE A321 SHARKLETS,6660||11580,None||None,coach||coach
01bd3a34c4d27c2ca592d1ce062115fa,2022-04-16,2022-04-18,ATL,ORD,PT12H20M,False,False,False,241.58,,1650281400||1650314220,2022-04-18T07:30:00.000-04:00||2022-04-18T16:37:00.000-04:00,1650288240||1650325800,2022-04-18T09:24:00.000-04:00||2022-04-18T18:50:00.000-05:00,FLL||ORD,ATL||FLL,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||AIRBUS INDUSTRIE A321 SHARKLETS,6840||11580,None||None,coach||coach
023d4f599c6bce06b54370515af15820,2022-04-16,2022-04-18,ATL,ORD,PT2H,False,False,True,268.6,600.0,1650280800,2022-04-18T07:20:00.000-04:00,1650288000,2022-04-18T08:20:00.000-05:00,ORD,ATL,Delta,DL,Airbus A321,7200,600,coach
5e8c98e0225b68f6c06fc486f7f3a32d,2022-04-16,2022-04-18,ATL,ORD,PT2H4M,False,False,True,268.6,600.0,1650302100,2022-04-18T13:15:00.000-04:00,1650309540,2022-04-18T14:19:00.000-05:00,ORD,ATL,Delta,DL,Airbus A320,7440,600,coach
8c9f54524ac409d3f91bab702465f1ae,2022-04-16,2022-04-18,ATL,ORD,PT16H59M,False,False,False,271.58,,1650331560||1650378300,2022-04-18T21:26:00.000-04:00||2022-04-19T07:25:00.000-07:00,1650349200||1650392700,2022-04-18T23:20:00.000-07:00||2022-04-19T13:25:00.000-05:00,LAX||ORD,ATL||LAX,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A320 SHARKLETS||AIRBUS INDUSTRIE A320 SHARKLETS,17640||14400,None||None,coach||coach
31e60e30003f1320a1d77353f5fdba63,2022-04-16,2022-04-18,ATL,ORD,PT6H15M,False,False,False,277.6,1482.0,1650283800||1650295800,2022-04-18T08:10:00.000-04:00||2022-04-18T11:30:00.000-04:00,1650291900||1650306300,2022-04-18T10:25:00.000-04:00||2022-04-18T13:25:00.000-05:00,LGA||ORD,ATL||LGA,Delta||Delta,DL||DL,Airbus A320||Airbus A220-100,8100||10500,762||720,coach||coach
ae1ea8b0996a1f90222c705c163a4bbc,2022-04-16,2022-04-18,ATL,ORD,PT7H20M,False,False,False,277.6,1482.0,1650279900||1650295800,2022-04-18T07:05:00.000-04:00||2022-04-18T11:30:00.000-04:00,1650287940||1650306300,2022-04-18T09:19:00.000-04:00||2022-04-18T13:25:00.000-05:00,LGA||ORD,ATL||LGA,Delta||Delta,DL||DL,Airbus A321||Airbus A220-100,8040||10500,762||720,coach||coach
f4ba1d3e3a82cefd44eb88b401a51c61,2022-04-16,2022-04-18,ATL,ORD,PT2H,False,False,True,278.6,600.0,1650294180,2022-04-18T11:03:00.000-04:00,1650301380,2022-04-18T12:03:00.000-05:00,ORD,ATL,United,UA,Airbus A319,7200,600,coach
2f67663b983361f9dc57a71db76bba94,2022-04-16,2022-04-18,ATL,ORD,PT2H11M,False,False,True,328.6,600.0,1650276780,2022-04-18T06:13:00.000-04:00,1650284640,2022-04-18T07:24:00.000-05:00,ORD,ATL,American Airlines,AA,Airbus A319,7860,600,coach
8eb828be45a1ea6552c6c8d612b6f6a4,2022-04-16,2022-04-18,ATL,ORD,PT2H3M,False,False,True,358.6,600.0,1650291300,2022-04-18T10:15:00.000-04:00,1650298680,2022-04-18T11:18:00.000-05:00,ORD,ATL,Delta,DL,Airbus A320,7380,600,coach
13f0c32aba483221b9d16d36bd6ba74d,2022-04-16,2022-04-18,ATL,ORD,PT12H7M,False,False,False,500.2,1809.0,1650293100||1650326100,2022-04-18T10:45:00.000-04:00||2022-04-18T19:55:00.000-04:00,1650302580||1650336720,2022-04-18T13:23:00.000-04:00||2022-04-18T21:52:00.000-05:00,BOS||ORD,ATL||BOS,JetBlue Airways||JetBlue Airways,B6||B6,||,9480||10620,947||862,coach||coach
